id_beneficiario,id_projeto,nome,cpf,dt_nascimento,sexo,escolaridade,renda_mensal,faixa_renda,chefe_familia,dt_cadastro
1,2,Diego Nascimento,286.886.232-65,1971-07-07,M,Fundamental,7121.31,De R$ 4.401 a R$ 8.000,S,2019-07-03
2,2,Ricardo Ferreira,631.390.966-20,1974-10-09,F,Médio,1966.16,Até R$ 2.640,N,2019-05-19
3,2,Maria Alves,756.272.706-84,1987-03-02,M,Médio,5223.88,De R$ 4.401 a R$ 8.000,N,2019-09-08
4,2,Ana Santos,146.756.889-83,1963-09-11,F,Médio,6741.7,De R$ 4.401 a R$ 8.000,N,2019-09-22
5,2,Diego Souza,757.409.594-41,1962-09-19,F,Superior,4385.87,De R$ 2.641 a R$ 4.400,N,2019-05-05
6,2,Felipe Rodrigues,575.308.448-87,1965-05-17,M,Superior,1938.18,Até R$ 2.640,N,2019-07-14
7,2,Marcos Alves,675.208.426-40,1995-10-09,F,Fundamental,1741.52,Até R$ 2.640,N,2019-08-10
8,2,João Souza,493.984.730-63,1982-03-29,M,Médio,1814.32,Até R$ 2.640,N,2019-09-11
9,2,Lucas Rodrigues,627.578.610-49,1988-01-21,F,Fundamental,2166.81,Até R$ 2.640,S,2019-07-26
10,2,Ricardo Lima,697.461.149-16,2005-05-06,F,Pós-graduação,4092.06,De R$ 2.641 a R$ 4.400,N,2019-06-29
11,2,Carlos Costa,237.370.844-56,2008-02-24,F,Superior,858.88,Até R$ 2.640,S,2019-07-28
12,2,Beatriz Ferreira,666.395.175-59,1964-08-03,F,Superior,4906.03,De R$ 4.401 a R$ 8.000,S,2019-05-19
13,2,Amanda Alves,474.873.247-35,1968-09-03,F,Fundamental,3636.11,De R$ 2.641 a R$ 4.400,S,2019-04-26
14,2,Bruno Alves,567.252.720-75,1972-04-17,M,Superior,5937.86,De R$ 4.401 a R$ 8.000,N,2019-05-28
15,2,Pedro Nascimento,444.619.948-75,1995-04-03,F,Superior,7932.43,De R$ 4.401 a R$ 8.000,N,2019-04-21
16,2,Carlos Costa,697.415.915-98,1993-01-17,M,Pós-graduação,3184.93,De R$ 2.641 a R$ 4.400,N,2019-10-01
17,2,João Nascimento,591.274.636-90,2011-11-24,F,Médio,4958.97,De R$ 4.401 a R$ 8.000,S,2019-04-25
18,2,Carlos Lima,119.551.421-63,2011-05-14,M,Pós-graduação,7627.08,De R$ 4.401 a R$ 8.000,S,2019-07-31
19,2,Bruno Silva,822.241.631-36,2005-01-07,F,Pós-graduação,6379.8,De R$ 4.401 a R$ 8.000,N,2019-07-06
20,2,Diego Ferreira,659.462.792-97,1975-07-15,F,Pós-graduação,4109.58,De R$ 2.641 a R$ 4.400,S,2019-06-19
21,2,Ricardo Souza,889.395.821-36,1985-01-11,F,Superior,4818.22,De R$ 4.401 a R$ 8.000,N,2019-07-15
22,2,Juliana Souza,224.687.792-79,2010-04-14,F,Pós-graduação,7522.64,De R$ 4.401 a R$ 8.000,N,2019-05-24
23,2,Maria Ferreira,552.771.362-71,1986-01-21,M,Médio,1102.88,Até R$ 2.640,N,2019-09-07
24,2,Rafael Nascimento,345.348.151-95,1984-05-14,M,Médio,1788.37,Até R$ 2.640,S,2019-05-12
25,2,Bruno Santos,797.889.240-10,1997-01-29,M,Pós-graduação,3178.11,De R$ 2.641 a R$ 4.400,N,2019-08-17
26,2,Pedro Ferreira,392.761.160-21,1977-11-22,M,Fundamental,6242.56,De R$ 4.401 a R$ 8.000,S,2019-08-01
27,2,João Costa,906.607.290-47,1975-10-09,M,Fundamental,7524.24,De R$ 4.401 a R$ 8.000,N,2019-09-09
28,2,Amanda Souza,565.756.656-77,2014-01-28,F,Médio,1572.56,Até R$ 2.640,N,2019-06-25
